시도명,시군구명,도로명,소재지지번주소,횡단보도관리번호,위도,경도,신고수,학교수,어린이시설수,노인시설수,아파트세대수,cctv수,버스정류장수,횡단보도폭,횡단보도연장,차로수,predict
세종특별자치시,없음,보듬8로,세종특별자치시도담동908,SJ00001,36.518168,127.2627741327,1,6,1,0,10319,2.0,0,5.3,14.1,4,6
세종특별자치시,없음,보듬8로,세종특별자치시도담동908,SJ00002,36.5181986192,127.2627741327,1,6,1,0,10319,2.0,0,5.3,9.9,3,6
세종특별자치시,없음,보듬8로,세종특별자치시도담동908,SJ00003,36.5181986192,127.2627741327,1,6,1,0,10319,2.0,0,5.3,16.8,5,6
세종특별자치시,없음,보듬8로,세종특별자치시도담동908,SJ00004,36.518137,127.2627741327,1,6,1,0,10319,2.0,0,5.3,8.5,2,6
세종특별자치시,없음,보듬6로,세종특별자치시도담동922,SJ00005,36.5160678822,127.2622416289,9,8,4,0,10319,0.0,0,5.3,16.9,5,4
세종특별자치시,없음,보듬6로,세종특별자치시도담동922,SJ00006,36.516005,127.2622416289,9,8,4,0,10319,0.0,0,5.3,11.5,3,5
세종특별자치시,없음,보듬6로,세종특별자치시도담동922,SJ00007,36.516001,127.2622416289,9,8,4,0,10319,0.0,0,5.3,17.3,5,4
세종특별자치시,없음,보듬6로,세종특별자치시도담동922,SJ00008,36.5160678822,127.2622416289,9,8,4,0,10319,0.0,0,5.3,11.3,5,3
세종특별자치시,없음,가름로,세종특별자치시종촌동710,SJ00009,36.499225,127.249509,30,13,3,0,11251,1.0,3,5.3,29.3,9,4
세종특별자치시,없음,가름로,세종특별자치시종촌동710,SJ00010,36.499255,127.249028,40,13,3,0,11251,0.0,3,5.3,21.9,6,4
세종특별자치시,없음,가름로,세종특별자치시종촌동710,SJ00011,36.499139,127.249013,43,13,3,0,11251,0.0,3,5.3,29.6,9,4
세종특별자치시,없음,가름로,세종특별자치시종촌동710,SJ00012,36.499139,127.249485,32,13,3,0,11251,1.0,2,5.3,19.6,5,3
세종특별자치시,없음,달빛로,세종특별자치시아름동1458,SJ00013,36.5136699072,127.2504672677,2,7,3,0,8007,2.0,2,5.3,15.8,2,6
세종특별자치시,없음,달빛로,세종특별자치시아름동1458,SJ00014,36.5136699072,127.2504672677,2,7,3,0,8007,2.0,2,5.3,17.0,5,6
세종특별자치시,없음,달빛1로,세종특별자치시아름동1471,SJ00015,36.5151919379,127.2456090505,1,10,1,0,8007,0.0,2,5.3,10.3,3,5
세종특별자치시,없음,달빛1로,세종특별자치시아름동1471,SJ00016,36.5151919379,127.2456090505,1,10,1,0,8007,0.0,2,5.3,9.7,2,5
세종특별자치시,없음,달빛1로,세종특별자치시아름동1471,SJ00017,36.5151919379,127.2456090505,1,10,1,0,8007,0.0,2,5.3,10.2,3,5
세종특별자치시,없음,세종로,세종특별자치시고운동1477,SJ00018,36.5067750409,127.2311792477,0,5,0,0,12094,0.0,2,5.3,18.7,5,4
세종특별자치시,없음,세종로,세종특별자치시고운동1477,SJ00019,36.5067750409,127.2311792477,0,5,0,0,12094,0.0,2,5.3,19.4,5,4
세종특별자치시,없음,세종로,세종특별자치시고운동1477,SJ00020,36.5067750409,127.2311792477,0,5,0,0,12094,0.0,2,5.3,18.3,5,4
세종특별자치시,없음,마음로,세종특별자치시고운동2057,SJ00021,36.5111417824,127.2296486987,8,6,0,0,12094,6.0,2,5.3,13.5,4,6
세종특별자치시,없음,나리로,세종특별자치시한솔동1249,SJ00022,36.478617,127.261494,7,5,0,0,6520,0.0,2,5.3,23.1,5,4
세종특별자치시,없음,나리로,세종특별자치시한솔동1249,SJ00023,36.478439,127.261494,7,5,0,0,6520,0.0,2,5.3,11.3,2,1
세종특별자치시,없음,누리로,세종특별자치시한솔동1229,SJ00024,36.475454,127.252495,10,6,1,0,6520,0.0,2,5.3,11.8,2,5
세종특별자치시,없음,누리로,세종특별자치시한솔동1229,SJ00025,36.475454,127.252693,11,6,1,0,6520,0.0,2,5.3,11.8,2,5
세종특별자치시,없음,누리로,세종특별자치시한솔동1229,SJ00026,36.480068,127.252693,3,10,1,0,6520,0.0,2,5.3,15.8,4,5
세종특별자치시,없음,어울로,세종특별자치시한솔동1227,SJ00027,36.480752,127.250608,5,10,1,0,6520,0.0,3,5.3,24.4,7,4
세종특별자치시,없음,어울로,세종특별자치시한솔동1227,SJ00028,36.480706,127.250453,5,10,1,0,6520,0.0,3,5.3,24.4,6,4
세종특별자치시,없음,어울로,세종특별자치시한솔동1227,SJ00029,36.480594,127.250461,5,10,1,0,6520,0.0,3,5.3,18.7,4,4
