시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자,acc_cnt,sch_cnt,child_cnt,old_cnt,bus_cnt,apar_rd_cnt,apar_rd_fam,apar_ad_cnt,apar_ad_fam,cctv_cnt
세종특별자치시,없음,보듬8로,,세종특별자치시도담동908,SJ00001,1,,N,36.518168,127.2627741327,4,5.3,14.1,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,1,6,1,0,0,0,0,19,10319,2.0
세종특별자치시,없음,보듬8로,,세종특별자치시도담동908,SJ00002,1,,N,36.5181986192,127.2627741327,3,5.3,9.9,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,1,6,1,0,0,0,0,19,10319,2.0
세종특별자치시,없음,보듬8로,,세종특별자치시도담동908,SJ00003,1,,N,36.5181986192,127.2627741327,5,5.3,16.8,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,1,6,1,0,0,0,0,19,10319,2.0
세종특별자치시,없음,보듬8로,,세종특별자치시도담동908,SJ00004,1,,N,36.518137,127.2627741327,2,5.3,8.5,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,1,6,1,0,0,0,0,19,10319,2.0
세종특별자치시,없음,보듬6로,,세종특별자치시도담동922,SJ00005,1,,N,36.5160678822,127.2622416289,5,5.3,16.9,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,9,8,4,0,0,0,0,19,10319,0.0
세종특별자치시,없음,보듬6로,,세종특별자치시도담동922,SJ00006,1,,N,36.516005,127.2622416289,3,5.3,11.5,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,9,8,4,0,0,0,0,19,10319,0.0
세종특별자치시,없음,보듬6로,,세종특별자치시도담동922,SJ00007,1,,N,36.516001,127.2622416289,5,5.3,17.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,9,8,4,0,0,0,0,19,10319,0.0
세종특별자치시,없음,보듬6로,,세종특별자치시도담동922,SJ00008,1,,N,36.5160678822,127.2622416289,5,5.3,11.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,9,8,4,0,0,0,0,19,10319,0.0
세종특별자치시,없음,가름로,,세종특별자치시종촌동710,SJ00009,1,,N,36.499225,127.249509,9,5.3,29.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,30,13,3,0,3,2,577,12,11251,1.0
세종특별자치시,없음,가름로,,세종특별자치시종촌동710,SJ00010,1,,N,36.499255,127.249028,6,5.3,21.9,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,40,13,3,0,3,2,577,12,11251,0.0
세종특별자치시,없음,가름로,,세종특별자치시종촌동710,SJ00011,1,,N,36.499139,127.249013,9,5.3,29.6,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,43,13,3,0,3,2,577,12,11251,0.0
세종특별자치시,없음,가름로,,세종특별자치시종촌동710,SJ00012,1,,N,36.499139,127.249485,5,5.3,19.6,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,32,13,3,0,2,2,577,12,11251,1.0
세종특별자치시,없음,달빛로,,세종특별자치시아름동1458,SJ00013,1,,Y,36.5136699072,127.2504672677,2,5.3,15.8,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,2,7,3,0,2,7,6632,10,8007,2.0
세종특별자치시,없음,달빛로,,세종특별자치시아름동1458,SJ00014,1,,Y,36.5136699072,127.2504672677,5,5.3,17.0,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,2,7,3,0,2,7,6632,10,8007,2.0
세종특별자치시,없음,달빛1로,,세종특별자치시아름동1471,SJ00015,1,,Y,36.5151919379,127.2456090505,3,5.3,10.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,1,10,1,0,2,5,2876,10,8007,0.0
세종특별자치시,없음,달빛1로,,세종특별자치시아름동1471,SJ00016,1,,N,36.5151919379,127.2456090505,2,5.3,9.7,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,1,10,1,0,2,5,2876,10,8007,0.0
